date,season,home_team,away_team,home_runs,away_runs
2025-03-22,2025,KIA,NC,9,2
2025-03-22,2025,SSG,두산,6,5
2025-03-22,2025,LG,롯데,12,2
2025-03-22,2025,삼성,키움,13,5
2025-03-22,2025,KT,한화,3,4
2025-03-23,2025,KIA,NC,4,5
2025-03-23,2025,SSG,두산,5,2
2025-03-23,2025,LG,롯데,10,2
2025-03-23,2025,삼성,키움,11,7
2025-03-23,2025,KT,한화,5,4
2025-03-25,2025,삼성,NC,14,5
2025-03-25,2025,KT,두산,8,3
2025-03-25,2025,SSG,롯데,2,3
2025-03-25,2025,KIA,키움,11,6
2025-03-25,2025,LG,한화,5,0
2025-03-26,2025,삼성,NC,6,8
2025-03-26,2025,KT,두산,2,3
2025-03-26,2025,SSG,롯데,3,1
2025-03-26,2025,KIA,키움,10,17
2025-03-26,2025,LG,한화,4,0
2025-03-27,2025,삼성,NC,5,11
2025-03-27,2025,KT,두산,4,3
2025-03-27,2025,SSG,롯데,5,2
2025-03-27,2025,KIA,키움,3,5
2025-03-27,2025,LG,한화,2,1
2025-03-28,2025,한화,KIA,7,2
2025-03-28,2025,롯데,KT,0,2
2025-03-28,2025,NC,LG,4,8
2025-03-28,2025,키움,SSG,9,3
2025-03-28,2025,두산,삼성,2,0
2025-03-29,2025,한화,KIA,5,4
2025-03-29,2025,롯데,KT,3,1
2025-03-29,2025,NC,LG,4,14
2025-03-29,2025,키움,SSG,3,1
2025-03-29,2025,두산,삼성,2,13
2025-03-30,2025,한화,KIA,3,5
2025-03-30,2025,롯데,KT,4,4
2025-03-30,2025,키움,SSG,2,8
2025-03-30,2025,두산,삼성,2,3
2025-04-02,2025,KT,LG,9,5
2025-04-02,2025,한화,롯데,2,6
2025-04-02,2025,KIA,삼성,2,4
2025-04-02,2025,두산,키움,5,3
2025-04-03,2025,KT,LG,1,5
2025-04-03,2025,한화,롯데,2,4
2025-04-03,2025,KIA,삼성,3,1
2025-04-03,2025,두산,키움,6,1
2025-04-04,2025,LG,KIA,8,2
2025-04-04,2025,SSG,KT,3,2
2025-04-04,2025,키움,NC,5,1
2025-04-04,2025,롯데,두산,3,15
2025-04-04,2025,삼성,한화,5,0
2025-04-05,2025,키움,NC,5,7
2025-04-05,2025,롯데,두산,6,1
2025-04-05,2025,삼성,한화,6,7
2025-04-06,2025,LG,KIA,5,1
2025-04-06,2025,SSG,KT,1,0
2025-04-06,2025,키움,NC,2,8
2025-04-06,2025,롯데,두산,12,15
2025-04-06,2025,삼성,한화,10,0
2025-04-08,2025,롯데,KIA,4,5
2025-04-08,2025,키움,LG,1,13
2025-04-08,2025,KT,NC,3,2
